# Memory Mountain Data (v5)
# size_bytes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
16384, 76283.7, 76219.2, 70085.2, 76193.0, 76171.1, 60944.5, 80557.9, 66347.2, 71628.2, 76326.7, 76268.5, 74273.1, 70248.6, 70891.0, 72371.4, 68578.8
20480, 80603.1, 77550.6, 74206.6, 66422.9, 78543.7, 74336.5, 77750.9, 67954.0, 78616.6, 78223.5, 78111.9, 77446.6, 78361.5, 76095.5, 75303.0, 63849.7
25600, 78534.1, 76654.5, 73048.7, 69391.4, 65279.1, 80584.8, 81306.8, 68170.9, 79102.3, 74012.0, 75052.9, 73618.3, 72396.9, 74780.8, 77713.1, 66071.0
32000, 78731.6, 79180.6, 77466.5, 72903.5, 72665.9, 69178.1, 80410.7, 69933.1, 79220.9, 79276.5, 80369.6, 79346.0, 63139.1, 78974.2, 79184.4, 70107.2
40000, 77720.0, 78662.5, 76992.6, 74724.8, 73707.5, 72996.8, 70956.1, 61614.0, 81574.4, 81621.8, 78994.3, 79440.6, 80083.0, 77607.7, 77484.4, 69319.7
50000, 74910.9, 73292.2, 71398.2, 69003.5, 69464.0, 64794.8, 65972.0, 59856.9, 68299.1, 69423.0, 78918.9, 79905.6, 82834.2, 78265.4, 81234.8, 61778.8
62500, 62143.2, 59540.0, 57238.6, 48923.5, 46200.2, 43161.8, 38065.0, 34721.0, 39878.9, 71352.6, 69910.3, 67063.0, 69189.2, 80683.2, 80159.4, 24293.8
78125, 62086.8, 57545.3, 56163.3, 48881.7, 44447.5, 41118.1, 36013.8, 31961.0, 32316.2, 33401.8, 38380.4, 55689.8, 78613.9, 70218.7, 64814.2, 23823.0
97656, 63733.2, 58661.7, 57363.2, 51119.9, 47129.8, 42913.0, 38295.2, 34102.2, 33592.7, 33938.8, 33958.3, 34635.6, 34912.3, 38968.7, 66577.0, 23961.7
122070, 63559.6, 58956.8, 57947.2, 51405.6, 46699.1, 41688.1, 37760.5, 33200.7, 34183.8, 34169.6, 34039.2, 33447.7, 32992.5, 34050.0, 33056.2, 23041.4
152587, 61064.3, 59022.3, 58282.5, 50187.0, 48556.2, 43210.9, 37560.9, 33878.8, 34023.0, 34769.1, 34529.8, 34355.0, 32989.2, 33661.9, 32552.0, 23983.3
190733, 62329.7, 58789.3, 58275.4, 50155.0, 46127.9, 42680.2, 38817.2, 33559.3, 34147.3, 34929.0, 34039.4, 34141.4, 33381.9, 33371.2, 33621.7, 23982.5
238416, 64821.2, 59992.5, 58468.4, 50042.1, 47576.3, 42002.9, 38318.9, 34552.6, 33688.9, 34642.2, 34809.4, 34094.8, 33456.2, 33828.6, 33729.8, 23501.1
298020, 63203.6, 60019.2, 58998.7, 51141.9, 46976.7, 43896.6, 38228.7, 33733.9, 34037.5, 34853.3, 33712.1, 33466.5, 34447.5, 33909.7, 32942.4, 23193.1
372525, 64513.9, 59350.4, 57644.0, 50046.1, 46972.3, 42955.7, 37831.3, 34894.6, 34522.3, 33543.7, 34698.2, 33643.4, 32768.8, 33414.8, 33255.5, 23180.6
465656, 61197.8, 57352.9, 57043.7, 50905.4, 47666.8, 42844.4, 38926.6, 34265.0, 33731.1, 34356.3, 32353.3, 35598.1, 32897.2, 33958.2, 33866.1, 23324.0
582070, 62433.1, 59792.2, 57610.4, 50279.3, 47790.8, 42988.4, 38750.8, 34000.8, 34737.9, 34302.0, 34243.5, 34955.5, 33420.7, 33794.5, 33571.9, 23669.0
727587, 63392.1, 58501.6, 57130.3, 50184.2, 47411.3, 42854.7, 37653.2, 33413.8, 30548.2, 33480.0, 34735.0, 34292.1, 33764.6, 33322.0, 33446.5, 23792.9
909483, 62586.1, 57519.8, 55590.9, 48369.2, 47582.0, 42511.3, 37963.8, 33983.3, 32800.4, 33255.6, 32203.8, 32842.4, 33501.0, 32583.9, 30675.7, 21601.8
1136853, 57985.0, 50584.6, 52343.5, 46637.9, 44189.9, 39739.7, 35488.3, 28240.0, 30509.4, 30685.5, 31501.7, 31870.9, 32001.9, 31930.6, 29564.4, 20483.9
1421066, 53422.8, 52025.5, 48941.5, 45254.2, 41340.3, 37330.9, 33489.1, 30442.1, 31123.6, 31881.0, 32609.7, 32934.3, 31754.2, 32005.4, 32626.9, 20414.3
1776332, 51311.4, 51137.4, 48557.4, 41239.6, 38502.2, 31936.7, 30305.8, 26857.4, 27994.4, 31042.2, 31761.2, 31349.8, 32713.3, 33376.4, 32915.1, 17843.1
2220415, 56993.4, 44214.2, 38130.4, 31788.1, 27129.0, 23427.6, 20627.5, 18443.2, 19215.2, 21092.9, 22381.6, 25932.3, 28181.1, 32464.5, 31528.9, 10905.8
2775518, 54482.2, 40588.3, 32131.8, 26097.7, 21894.5, 18744.4, 15986.9, 14254.4, 14289.2, 14688.3, 14918.0, 15472.8, 15149.9, 17038.5, 21641.8, 7912.0
3469397, 53961.5, 36674.6, 28927.4, 23017.1, 18394.4, 17016.6, 14897.9, 13254.0, 12799.8, 12246.0, 11901.4, 11434.0, 10839.5, 10429.9, 11282.6, 7076.8
4336746, 55762.2, 36782.1, 29127.5, 23405.6, 19850.1, 16906.9, 14886.3, 13047.9, 12525.8, 11656.5, 11097.3, 10482.0, 9461.1, 8465.4, 8375.1, 6654.7
5420932, 55783.3, 38461.8, 29032.7, 22847.7, 19943.1, 16983.9, 14926.5, 13170.0, 12026.6, 11516.7, 10130.1, 9580.0, 8643.2, 7766.9, 7437.3, 6020.2
6776165, 49819.2, 33497.1, 25593.7, 17888.8, 16697.4, 15890.2, 14160.2, 12696.7, 11835.4, 10574.9, 10721.5, 9723.1, 8959.0, 8155.9, 7907.1, 6801.1
8470206, 53711.1, 36142.6, 28404.5, 22266.1, 18639.1, 16357.5, 14214.9, 12715.4, 11821.6, 11127.2, 10384.4, 9061.5, 9034.6, 8087.4, 7865.5, 6805.9
10587757, 52652.0, 34959.6, 26546.8, 21165.1, 17975.7, 15783.7, 13833.3, 12211.9, 11581.4, 10974.2, 10304.2, 10022.4, 9221.0, 8269.8, 7730.0, 6670.0
13234696, 48195.5, 32492.2, 25457.8, 19944.0, 14828.2, 12802.9, 11702.5, 9810.4, 9562.8, 9315.0, 8828.8, 8304.7, 7644.1, 6968.0, 6191.2, 5581.8
16543370, 41689.4, 28715.6, 22163.5, 17386.4, 14656.4, 12714.5, 11125.2, 9724.8, 8857.3, 8715.2, 7984.4, 7397.4, 6479.3, 6104.4, 5987.8, 3718.9
20679212, 31256.0, 26304.1, 17899.1, 15768.4, 11216.7, 8866.2, 9717.5, 9131.5, 8488.8, 7833.0, 7772.7, 8021.0, 7670.0, 7239.0, 6709.0, 5557.8
25849015, 32188.2, 20838.9, 17564.0, 14186.1, 11715.7, 10304.2, 9250.8, 8876.5, 9065.8, 8296.9, 8065.2, 8172.2, 7661.2, 6948.4, 6649.9, 5093.8
32311268, 27229.3, 17558.3, 13770.0, 11368.4, 10591.7, 9506.0, 8254.5, 7418.3, 6214.1, 7011.0, 5861.8, 5684.1, 5451.9, 5065.7, 5218.2, 3771.7
